,企業名,ティッカー,stock_diff,年度,株価の変化率,負債,end_date+60日の株価,企業価値,end_dateの日の株価,有利子負債/総資産比率,有形固定資産,キャッシュ時価総額比率,純資産,クラスタリング
48,"ウェルビー株式会社",6556.0,-11.964873765093303,2019.0,4,4,8,9,8,5,7.0,1,7,10
49,"ウェルビー株式会社",6556.0,9.16923076923077,2019.0,8,5,7,9,7,5,7.0,2,8,8
50,"ウェルビー株式会社",6556.0,-8.666256914566688,2019.0,4,4,7,9,7,5,8.0,2,8,8
51,"ウェルビー株式会社",6556.0,11.368142762723068,2019.0,8,5,7,9,7,5,8.0,2,8,8
52,"ウェルビー株式会社",6556.0,-7.121661721068249,2020.0,5,4,7,9,7,4,8.0,1,8,8
53,"ウェルビー株式会社",6556.0,-6.325878594249201,2020.0,5,4,7,9,7,4,8.0,2,8,8
54,"ウェルビー株式会社",6556.0,-1.939799331103679,2020.0,6,4,7,9,7,4,8.0,2,9,8
55,"ウェルビー株式会社",6556.0,-10.271703114645462,2020.0,4,4,7,9,7,4,8.0,2,9,8
56,"株式会社ファンデリー",3137.0,-7.173356105892399,2018.0,5,2,6,4,7,1,8.0,7,7,7
57,"株式会社ファンデリー",3137.0,66.47173489278752,2018.0,10,2,5,3,5,1,8.0,8,7,4
58,"株式会社ファンデリー",3137.0,2.3060796645702304,2018.0,7,6,7,6,6,8,9.0,7,7,2
59,"株式会社ファンデリー",3137.0,-18.64754098360656,2019.0,2,8,7,6,7,7,10.0,7,7,2
60,"株式会社ファンデリー",3137.0,-19.11886949293433,2019.0,2,9,6,6,7,9,10.0,8,8,2
61,"株式会社ファンデリー",3137.0,-17.420596727622716,2019.0,3,9,5,6,7,9,10.0,8,8,2
62,"株式会社ファンデリー",3137.0,-5.973715651135006,2019.0,5,9,4,6,4,10,10.0,9,8,5
63,"株式会社ファンデリー",3137.0,-24.77763659466328,2020.0,2,9,4,6,4,10,10.0,7,8,5
64,"株式会社ファンデリー",3137.0,7.432432432432432,2020.0,8,9,3,5,4,10,10.0,7,8,5
65,"株式会社ファンデリー",3137.0,5.728314238952537,2020.0,7,9,3,6,3,10,10.0,6,7,5
66,"株式会社ファンデリー",3137.0,-11.335403726708076,2020.0,4,9,3,6,3,10,10.0,5,7,5
67,"オンコセラピー・サイエンス株式会社",4564.0,-15.286624203821656,2018.0,3,2,1,8,1,1,8.0,7,9,1
68,"オンコセラピー・サイエンス株式会社",4564.0,-21.58273381294964,2018.0,2,2,1,7,1,1,7.0,7,9,1
69,"オンコセラピー・サイエンス株式会社",4564.0,1.8691588785046729,2018.0,7,3,1,7,1,1,6.0,8,9,1
70,"オンコセラピー・サイエンス株式会社",4564.0,-17.431192660550458,2019.0,3,2,1,7,1,1,6.0,8,9,1
71,"オンコセラピー・サイエンス株式会社",4564.0,-14.130434782608695,2019.0,3,2,1,6,1,1,6.0,8,9,1
72,"オンコセラピー・サイエンス株式会社",4564.0,49.333333333333336,2019.0,10,2,1,6,1,1,6.0,9,9,1
73,"オンコセラピー・サイエンス株式会社",4564.0,38.775510204081634,2019.0,9,2,1,7,1,1,6.0,8,9,1
74,"オンコセラピー・サイエンス株式会社",4564.0,-5.88235294117647,2020.0,5,2,1,8,1,1,6.0,6,9,1
75,"オンコセラピー・サイエンス株式会社",4564.0,2.34375,2020.0,7,2,1,8,1,1,6.0,5,8,1
76,"オンコセラピー・サイエンス株式会社",4564.0,-13.076923076923078,2020.0,3,2,1,8,1,1,6.0,5,8,1
77,"オンコセラピー・サイエンス株式会社",4564.0,-26.31578947368421,2020.0,2,2,1,8,1,1,6.0,5,8,1
78,"株式会社エルテス",3967.0,50.72866065232478,2018.0,10,1,7,5,7,4,5.0,5,5,7
79,"株式会社エルテス",3967.0,-30.616942909760592,2018.0,1,1,8,6,8,4,5.0,4,5,3
80,"株式会社エルテス",3967.0,25.215660252156603,2018.0,9,1,7,5,8,4,5.0,5,5,7
81,"株式会社エルテス",3967.0,1.9791094007696537,2019.0,7,1,8,6,7,4,5.0,4,5,10
82,"株式会社エルテス",3967.0,29.728230726566835,2019.0,9,2,8,6,7,4,5.0,5,5,10
83,"株式会社エルテス",3967.0,-41.684480547242416,2019.0,1,2,9,6,8,4,4.0,4,5,3
84,"株式会社エルテス",3967.0,-7.404692082111437,2019.0,5,2,6,4,7,4,4.0,6,5,7
85,"株式会社エルテス",3967.0,-2.448657187993681,2020.0,6,2,6,4,8,4,4.0,6,5,7
86,"株式会社エルテス",3967.0,-9.63265306122449,2020.0,4,1,6,4,6,4,4.0,5,5,7
87,"株式会社エルテス",3967.0,21.499548328816623,2020.0,9,1,6,4,6,4,3.0,5,5,7
88,"株式会社エルテス",3967.0,-17.431192660550458,2020.0,3,5,6,5,6,8,5.0,5,4,2
89,"株式会社アドバンスト・メディア",3773.0,5.429594272076373,2018.0,7,5,7,8,8,4,5.0,8,10,10
90,"株式会社アドバンスト・メディア",3773.0,-15.474112856311809,2018.0,3,4,7,9,7,4,5.0,7,10,10
91,"株式会社アドバンスト・メディア",3773.0,-28.945645055664706,2018.0,1,5,7,8,7,4,5.0,7,10,10
92,"株式会社アドバンスト・メディア",3773.0,8.940092165898617,2019.0,8,5,6,7,6,4,5.0,9,10,1
93,"株式会社アドバンスト・メディア",3773.0,-9.150865622423742,2019.0,4,6,6,7,5,4,7.0,8,10,8
